Team,Batters,ROS,Playing time %
ARI,Carson Kelly,315 PA,C 45% 315 PA
ARI,Gabriel Moreno,350 PA,C 45% 315 PA DH 5% 35 PA
ARI,Jose Herrera,70 PA,C 10% 70 PA
ARI,Ketel Marte,560 PA,2B 65% 455 PA DH 15% 105 PA
ARI,Josh Rojas,385 PA,2B 30% 210 PA 3B 25% 175 PA
ARI,Diego Castillo,70 PA,2B 5% 35 PA SS 5% 35 PA
ARI,Nick Ahmed,420 PA,SS 60% 420 PA
ARI,Geraldo Perdomo,210 PA,SS 30% 210 PA
ARI,Blaze Alexander,70 PA,SS 5% 35 PA 3B 5% 35 PA
ARI,Corbin Carroll,595 PA,CF 45% 315 PA LF 20% 140 PA RF 20% 140 PA
ARI,Alek Thomas,280 PA,CF 30% 210 PA RF 10% 70 PA
ARI,Kyle Lewis,280 PA,CF 20% 140 PA DH 10% 70 PA LF 5% 35 PA RF 5% 35 PA
ARI,Dominic Fletcher,70 PA,CF 5% 35 PA RF 5% 35 PA
ARI,Lourdes Gurriel Jr.,525 PA,LF 65% 455 PA DH 10% 70 PA
ARI,Evan Longoria,385 PA,3B 40% 280 PA DH 15% 105 PA
ARI,Emmanuel Rivera,315 PA,3B 30% 210 PA DH 15% 105 PA
ARI,Jake McCarthy,490 PA,RF 60% 420 PA LF 10% 70 PA
ARI,Christian Walker,630 PA,1B 90% 630 PA
ARI,Pavin Smith,175 PA,DH 20% 140 PA 1B 5% 35 PA
ARI,Seth Beer,105 PA,DH 10% 70 PA 1B 5% 35 PA
ATL,Sean Murphy,490 PA,C 65% 455 PA DH 5% 35 PA
ATL,Travis d'Arnaud,490 PA,C 30% 210 PA DH 30% 210 PA 1B 10% 70 PA
ATL,Chadwick Tromp,35 PA,C 5% 35 PA
ATL,Ozzie Albies,595 PA,2B 80% 560 PA DH 5% 35 PA
ATL,Vaughn Grissom,385 PA,SS 45% 315 PA 2B 10% 70 PA
ATL,Braden Shewmake,280 PA,SS 40% 280 PA
ATL,Orlando Arcia,280 PA,SS 15% 105 PA 2B 10% 70 PA 3B 10% 70 PA LF 5% 35 PA
ATL,Michael Harris II,595 PA,CF 85% 595 PA
ATL,Eli White,70 PA,CF 5% 35 PA LF 5% 35 PA
ATL,Eddie Rosario,490 PA,LF 45% 315 PA DH 20% 140 PA RF 5% 35 PA
ATL,Jordan Luplow,210 PA,LF 25% 175 PA DH 5% 35 PA
ATL,Austin Riley,630 PA,3B 90% 630 PA
ATL,Ronald Acuna Jr.,595 PA,RF 75% 525 PA CF 5% 35 PA DH 5% 35 PA
ATL,Sam Hilliard,245 PA,RF 20% 140 PA LF 10% 70 PA CF 5% 35 PA
ATL,Matt Olson,630 PA,1B 90% 630 PA
ATL,Marcell Ozuna,280 PA,DH 30% 210 PA LF 10% 70 PA
BAL,Adley Rutschman,560 PA,C 65% 455 PA DH 15% 105 PA
BAL,James McCann,315 PA,C 25% 175 PA 1B 10% 70 PA DH 10% 70 PA
BAL,Anthony Bemboom,35 PA,C 5% 35 PA
BAL,Mark Kolozsvary,35 PA,C 5% 35 PA
BAL,Adam Frazier,560 PA,2B 65% 455 PA LF 10% 70 PA SS 5% 35 PA
BAL,Connor Norby,35 PA,2B 5% 35 PA
BAL,Terrin Vavra,70 PA,2B 5% 35 PA 3B 5% 35 PA
BAL,Jorge Mateo,385 PA,SS 55% 385 PA
BAL,Joey Ortiz,140 PA,SS 15% 105 PA 3B 5% 35 PA
BAL,Jordan Westburg,70 PA,SS 5% 35 PA 3B 5% 35 PA
BAL,Cedric Mullins,595 PA,CF 85% 595 PA
BAL,Colton Cowser,35 PA,CF 5% 35 PA
BAL,Austin Hays,525 PA,LF 60% 420 PA RF 10% 70 PA CF 5% 35 PA
BAL,Ryan McKenna,175 PA,LF 10% 70 PA RF 10% 70 PA CF 5% 35 PA
BAL,Gunnar Henderson,595 PA,3B 60% 420 PA SS 20% 140 PA 2B 5% 35 PA
BAL,Ramon Urias,315 PA,3B 25% 175 PA 2B 20% 140 PA
BAL,Anthony Santander,595 PA,RF 55% 385 PA DH 30% 210 PA
BAL,Ryan Mountcastle,595 PA,1B 75% 525 PA DH 10% 70 PA
BAL,Lewin Diaz,35 PA,1B 5% 35 PA
BAL,Ryan O'Hearn,35 PA,1B 5% 35 PA
BAL,Franchy Cordero,70 PA,1B 5% 35 PA DH 5% 35 PA
BAL,Kyle Stowers,525 PA,DH 30% 210 PA RF 25% 175 PA LF 20% 140 PA
BOS,Reese McGuire,350 PA,C 50% 350 PA
BOS,Connor Wong,280 PA,C 40% 280 PA
BOS,Ronaldo Hernandez,70 PA,C 10% 70 PA
BOS,Christian Arroyo,455 PA,2B 50% 350 PA SS 10% 70 PA 3B 5% 35 PA
BOS,David Hamilton,175 PA,2B 20% 140 PA SS 5% 35 PA
