Team,Player,ROS,Playing time %,Role,IP_GS
ARI,Zac Gallen,162 IP,GS 17%,Starter 1,5.9
ARI,Merrill Kelly,172 IP,GS 18%,Starter 2,5.9
ARI,Madison Bumgarner,135 IP,GS 16%,Starter 3,5.2
ARI,Zach Davies,122 IP,GS 15%,Starter 4,5
ARI,Ryne Nelson,95 IP,GS 13%,Starter 5,4.5
ARI,Drey Jameson,92 IP,GS 8% RP 5%,"Starter, Long",4.8
ARI,Brandon Pfaadt,34 IP,GS 5%,Starter,4.2
ARI,Tommy Henry,32 IP,GS 4%,Starter,5
ARI,Blake Walston,13 IP,GS 2%,Starter,4.1
ARI,Tyler Gilbert,14 IP,GS 2%,Starter,4.4
ARI,Kevin Ginkel,60 IP,RP 10% SV 45%,Closer,0
ARI,Mark Melancon,42 IP,RP 7% SV 30%,Closer,0
ARI,Joe Mantiply,60 IP,RP 10% SV 25%,Setup,0
ARI,Scott McGough,60 IP,RP 10%,Middle,0
ARI,Miguel Castro,60 IP,RP 10%,Middle,0
ARI,Andrew Chafin,60 IP,RP 10%,Middle,0
ARI,Cole Sulser,60 IP,RP 10%,Middle,0
ARI,Kyle Nelson,54 IP,RP 9%,Middle,0
ARI,Carlos Vargas,36 IP,RP 6%,Middle,0
ARI,Luis Frías,30 IP,RP 5%,Middle,0
ARI,Corbin Martin,18 IP,RP 3%,Middle,0
ARI,Justin Martinez,18 IP,RP 3%,Middle,0
ARI,Tyler Zuber,12 IP,RP 2%,Middle,0
ATL,Max Fried,181 IP,GS 18%,Starter 1,6.2
ATL,Charlie Morton,151 IP,GS 17%,Starter 2,5.5
ATL,Spencer Strider,146 IP,GS 17%,Starter 3,5.3
ATL,Kyle Wright,162 IP,GS 17%,Starter 4,5.9
ATL,Mike Soroka,61 IP,GS 8%,Starter 5,4.7
ATL,Ian Anderson,62 IP,GS 8%,Starter,4.8
ATL,Jared Shuster,62 IP,GS 8%,Starter,4.8
ATL,Dylan Dodd,33 IP,GS 5%,Starter,4.1
ATL,Bryce Elder,33 IP,GS 2% RP 3%,"Starter, Long",5
ATL,Raisel Iglesias,51 IP,RP 9% SV 70%,Closer,0
ATL,Joe Jimenez,62 IP,RP 11% SV 15%,Setup,0
ATL,A.J. Minter,62 IP,RP 11% SV 15%,Setup,0
ATL,Collin McHugh,62 IP,RP 11%,Middle,0
ATL,Lucas Luetge,45 IP,RP 8%,Middle,0
ATL,Kirby Yates,45 IP,RP 8%,Middle,0
ATL,Jesse Chavez,45 IP,RP 8%,Middle,0
ATL,Nick Anderson,40 IP,RP 7%,Middle,0
ATL,Kolby Allard,23 IP,RP 4%,Middle,0
ATL,Seth Elledge,23 IP,RP 4%,Middle,0
ATL,Michael Tonkin,17 IP,RP 3%,Middle,0
ATL,Darius Vines,11 IP,RP 2%,Middle,0
ATL,Jackson Stephens,11 IP,RP 2%,Middle,0
ATL,Dylan Lee,51 IP,RP 9%,Long,0
BAL,Cole Irvin,166 IP,GS 18%,Starter 1,5.7
BAL,Kyle Gibson,160 IP,GS 18%,Starter 2,5.5
BAL,Dean Kremer,125 IP,GS 14%,Starter 3,5.5
BAL,Kyle Bradish,97 IP,GS 12%,Starter 4,5
BAL,Grayson Rodriguez,93 IP,GS 12%,Starter 5,4.8
BAL,Tyler Wells,100 IP,GS 12% RP 2%,"Starter, Long",4.5
BAL,John Means,48 IP,GS 6%,Starter,4.9
BAL,Austin Voth,71 IP,GS 4% RP 7%,"Starter, Long",4.4
BAL,DL Hall,38 IP,GS 2% RP 4%,"Starter, Long",4.3
BAL,Bruce Zimmermann,27 IP,GS 2% RP 2%,"Starter, Long",4.5
BAL,Felix Bautista,48 IP,RP 8% SV 90%,Closer,0
BAL,Cionel Perez,55 IP,RP 9% SV 5%,Setup,0
BAL,Dillon Tate,42 IP,RP 7% SV 5%,Setup,0
BAL,Andrew Politi,42 IP,RP 7%,Mop Up,0
BAL,Bryan Baker,55 IP,RP 9%,Middle,0
BAL,Logan Gillaspie,42 IP,RP 7%,Middle,0
BAL,Mychal Givens,42 IP,RP 7%,Middle,0
BAL,Joey Krehbiel,24 IP,RP 4%,Middle,0
BAL,Nick Vespi,18 IP,RP 3%,Middle,0
BAL,Yennier Cano,18 IP,RP 3%,Middle,0
BAL,Drew Rom,12 IP,RP 2%,Middle,0
BAL,Keegan Akin,55 IP,RP 9%,Long,0
BAL,Spenser Watkins,36 IP,RP 6%,Long,0
BAL,Michael Baumann,24 IP,RP 4%,Long,0
BOS,Chris Sale,118 IP,GS 14%,Starter 1,5.2
BOS,Nick Pivetta,146 IP,GS 17%,Starter 2,5.3
BOS,Corey Kluber,129 IP,GS 15%,Starter 3,5.3
BOS,James Paxton,84 IP,GS 11%,Starter 4,4.7
BOS,Garrett Whitlock,86 IP,GS 9% RP 3%,"Starter 5, Long",4.6
BOS,Tanner Houck,95 IP,GS 6% RP 8%,"Starter 6, Middle",4.5
BOS,Brayan Bello,78 IP,GS 10%,Starter,4.8
BOS,Kutter Crawford,99 IP,GS 6% RP 8%,"Starter, Middle",4.9
BOS,Bryan Mata,61 IP,GS 5% RP 4%,"Starter, Middle",4.4
BOS,Josh Winckowski,47 IP,GS 3% RP 4%,"Starter, Long",4.5
BOS,Brandon Walter,15 IP,GS 2%,Starter,4.5
BOS,Chris Murphy,27 IP,GS 2% RP 2%,"Starter, Long",4.5
BOS,Kenley Jansen,64 IP,RP 10% SV 85%,Closer,0
BOS,John Schreiber,64 IP,RP 10% SV 10%,Setup,0
BOS,Chris Martin,58 IP,RP 9% SV 5%,Setup,0
BOS,Joely Rodriguez,38 IP,RP 6%,Setup,0
BOS,Richard Bleier,58 IP,RP 9%,Middle,0
BOS,Ryan Brasier,58 IP,RP 9%,Middle,0
BOS,Wyatt Mills,38 IP,RP 6%,Middle,0
BOS,Zack Kelly,38 IP,RP 6%,Middle,0
BOS,Kaleb Ort,38 IP,RP 6%,Middle,0
CHW,Dylan Cease,166 IP,GS 18%,Starter 1,5.7
CHW,Lance Lynn,165 IP,GS 17%,Starter 2,6
CHW,Lucas Giolito,163 IP,GS 18%,Starter 3,5.6
CHW,Michael Kopech,122 IP,GS 15%,Starter 4,5
